year,file_input,type,location,project_name,country
2019,2019_HERAS_input-acoustic_DK_stox.xml,acoustic,local,2019_HERAS_project_HER_EU,DK
2019,2019_HERAS_input-acoustic_GB-SCT_stox.xml,acoustic,ices_DB,2019_HERAS_project_HER_EU,GB-SCT
2019,2019_HERAS_input-acoustic_GER_stox.xml,acoustic,local,2019_HERAS_project_HER_EU,DE
2019,2019_HERAS_input-acoustic_NL_stox.xml,acoustic,ices_DB,2019_HERAS_project_HER_EU,NL
2019,2019_HERAS_input-biotic_DK_stox.xml,biotic,ices_DB,2019_HERAS_project_HER_EU,DK
2019,2019_HERAS_input-biotic_GB-SCT_stox.xml,biotic,ices_DB,2019_HERAS_project_HER_EU,GB-SCT
2019,2019_HERAS_input-biotic_GER_stox.xml,biotic,ices_DB,2019_HERAS_project_HER_EU,DE
2019,2019_HERAS_input-biotic_NL_stox.xml,biotic,ices_DB,2019_HERAS_project_HER_EU,NL
2019,2019_HERAS_polygons_EU_stox.txt,strata,local,2019_HERAS_project_HER_EU,EU
2019,2019_HERAS_project_HER_EU_stox.xml,project,local,2019_HERAS_project_HER_EU,all
2019,2019_HERAS_input-acoustic_NO_stox.xml,acoustic,ices_DB,2019_HERAS_project_HER_NO,NO
2019,2019_HERAS_input-biotic_NO_stox.xml,biotic,ices_DB,2019_HERAS_project_HER_NO,NO
2019,2019_HERAS_polygons_NO_stox.txt,strata,local,2019_HERAS_project_HER_NO,NO
2019,2019_HERAS_project_HER_NO_stox.xml,project,local,2019_HERAS_project_HER_NO,NO
